2025-08-18T13:15:08+01:00  13:15:08 up 1 day, 0 min,  1 user,  load average: 10.53, 9.64, 7.74
2025-08-18T13:15:13+01:00  13:15:13 up 1 day, 0 min,  1 user,  load average: 10.25, 9.59, 7.73
2025-08-18T13:15:18+01:00  13:15:18 up 1 day, 0 min,  1 user,  load average: 10.71, 9.70, 7.78
2025-08-18T13:15:23+01:00  13:15:23 up 1 day, 0 min,  1 user,  load average: 11.62, 9.90, 7.85
2025-08-18T13:15:28+01:00  13:15:28 up 1 day, 1 min,  1 user,  load average: 11.65, 9.94, 7.87
2025-08-18T13:15:33+01:00  13:15:33 up 1 day, 1 min,  1 user,  load average: 12.40, 10.12, 7.95
2025-08-18T13:15:38+01:00  13:15:38 up 1 day, 1 min,  1 user,  load average: 13.25, 10.34, 8.03
2025-08-18T13:15:43+01:00  13:15:43 up 1 day, 1 min,  1 user,  load average: 12.50, 10.23, 8.00
2025-08-18T13:15:48+01:00  13:15:48 up 1 day, 1 min,  1 user,  load average: 13.27, 10.43, 8.08
2025-08-18T13:15:53+01:00  13:15:53 up 1 day, 1 min,  1 user,  load average: 12.68, 10.35, 8.07
2025-08-18T13:15:58+01:00  13:15:58 up 1 day, 1 min,  1 user,  load average: 12.47, 10.35, 8.08
2025-08-18T13:16:03+01:00  13:16:03 up 1 day, 1 min,  1 user,  load average: 11.71, 10.23, 8.05
2025-08-18T13:16:08+01:00  13:16:08 up 1 day, 1 min,  1 user,  load average: 12.85, 10.49, 8.15
2025-08-18T13:16:13+01:00  13:16:13 up 1 day, 1 min,  1 user,  load average: 12.39, 10.43, 8.14
2025-08-18T13:16:18+01:00  13:16:18 up 1 day, 1 min,  1 user,  load average: 13.08, 10.61, 8.21
2025-08-18T13:16:23+01:00  13:16:23 up 1 day, 1 min,  1 user,  load average: 12.11, 10.45, 8.17
2025-08-18T13:16:28+01:00  13:16:28 up 1 day, 2 min,  1 user,  load average: 12.82, 10.62, 8.24
2025-08-18T13:16:33+01:00  13:16:33 up 1 day, 2 min,  1 user,  load average: 12.83, 10.66, 8.27
2025-08-18T13:16:38+01:00  13:16:38 up 1 day, 2 min,  1 user,  load average: 13.73, 10.88, 8.35
2025-08-18T13:16:43+01:00  13:16:43 up 1 day, 2 min,  1 user,  load average: 13.11, 10.80, 8.34
2025-08-18T13:16:48+01:00  13:16:48 up 1 day, 2 min,  1 user,  load average: 13.90, 11.00, 8.42
2025-08-18T13:16:53+01:00  13:16:53 up 1 day, 2 min,  1 user,  load average: 13.51, 10.97, 8.42
2025-08-18T13:16:58+01:00  13:16:58 up 1 day, 2 min,  1 user,  load average: 12.59, 10.82, 8.39
2025-08-18T13:17:03+01:00  13:17:03 up 1 day, 2 min,  1 user,  load average: 13.18, 10.97, 8.45
2025-08-18T13:17:08+01:00  13:17:08 up 1 day, 2 min,  1 user,  load average: 13.33, 11.04, 8.49
2025-08-18T13:17:13+01:00  13:17:13 up 1 day, 2 min,  1 user,  load average: 13.38, 11.09, 8.52
2025-08-18T13:17:18+01:00  13:17:18 up 1 day, 2 min,  1 user,  load average: 14.63, 11.39, 8.63
2025-08-18T13:17:23+01:00  13:17:23 up 1 day, 2 min,  1 user,  load average: 13.54, 11.21, 8.58
2025-08-18T13:17:28+01:00  13:17:28 up 1 day, 3 min,  1 user,  load average: 14.62, 11.48, 8.68
2025-08-18T13:17:33+01:00  13:17:33 up 1 day, 3 min,  1 user,  load average: 14.17, 11.44, 8.69
2025-08-18T13:17:38+01:00  13:17:38 up 1 day, 3 min,  1 user,  load average: 16.24, 11.91, 8.85
2025-08-18T13:17:43+01:00  13:17:43 up 1 day, 3 min,  1 user,  load average: 17.10, 12.16, 8.95
2025-08-18T13:17:48+01:00  13:17:48 up 1 day, 3 min,  1 user,  load average: 17.81, 12.39, 9.04
2025-08-18T13:17:53+01:00  13:17:53 up 1 day, 3 min,  1 user,  load average: 17.43, 12.40, 9.07
2025-08-18T13:17:58+01:00  13:17:58 up 1 day, 3 min,  1 user,  load average: 17.31, 12.46, 9.10
2025-08-18T13:18:03+01:00  13:18:03 up 1 day, 3 min,  1 user,  load average: 15.93, 12.25, 9.05
2025-08-18T13:18:08+01:00  13:18:08 up 1 day, 3 min,  1 user,  load average: 17.21, 12.58, 9.18
2025-08-18T13:18:13+01:00  13:18:13 up 1 day, 3 min,  1 user,  load average: 16.32, 12.47, 9.16
2025-08-18T13:18:18+01:00  13:18:18 up 1 day, 3 min,  1 user,  load average: 16.45, 12.56, 9.21
2025-08-18T13:18:23+01:00  13:18:23 up 1 day, 3 min,  1 user,  load average: 15.61, 12.46, 9.19
2025-08-18T13:18:28+01:00  13:18:28 up 1 day, 4 min,  1 user,  load average: 16.13, 12.61, 9.26
2025-08-18T13:18:33+01:00  13:18:33 up 1 day, 4 min,  1 user,  load average: 16.28, 12.70, 9.31
2025-08-18T13:18:38+01:00  13:18:38 up 1 day, 4 min,  1 user,  load average: 17.21, 12.96, 9.41
2025-08-18T13:18:43+01:00  13:18:43 up 1 day, 4 min,  1 user,  load average: 17.68, 13.13, 9.48
2025-08-18T13:18:48+01:00  13:18:48 up 1 day, 4 min,  1 user,  load average: 17.46, 13.16, 9.51
2025-08-18T13:18:53+01:00  13:18:53 up 1 day, 4 min,  1 user,  load average: 17.11, 13.15, 9.53
2025-08-18T13:18:58+01:00  13:18:58 up 1 day, 4 min,  1 user,  load average: 17.18, 13.23, 9.58
2025-08-18T13:19:03+01:00  13:19:03 up 1 day, 4 min,  1 user,  load average: 17.32, 13.33, 9.63
2025-08-18T13:19:08+01:00  13:19:08 up 1 day, 4 min,  1 user,  load average: 18.58, 13.66, 9.75
2025-08-18T13:19:13+01:00  13:19:13 up 1 day, 4 min,  1 user,  load average: 18.69, 13.76, 9.81
2025-08-18T13:19:18+01:00  13:19:18 up 1 day, 4 min,  1 user,  load average: 19.04, 13.92, 9.88
2025-08-18T13:19:23+01:00  13:19:23 up 1 day, 4 min,  1 user,  load average: 18.15, 13.82, 9.87
2025-08-18T13:19:28+01:00  13:19:28 up 1 day, 5 min,  1 user,  load average: 18.30, 13.92, 9.92
2025-08-18T13:19:33+01:00  13:19:33 up 1 day, 5 min,  1 user,  load average: 17.00, 13.72, 9.88
2025-08-18T13:19:38+01:00  13:19:38 up 1 day, 5 min,  1 user,  load average: 16.44, 13.66, 9.88
2025-08-18T13:19:43+01:00  13:19:43 up 1 day, 5 min,  1 user,  load average: 16.56, 13.73, 9.92
2025-08-18T13:19:48+01:00  13:19:48 up 1 day, 5 min,  1 user,  load average: 15.80, 13.62, 9.91
2025-08-18T13:19:53+01:00  13:19:53 up 1 day, 5 min,  1 user,  load average: 15.49, 13.59, 9.92
2025-08-18T13:19:58+01:00  13:19:58 up 1 day, 5 min,  1 user,  load average: 16.41, 13.82, 10.01
2025-08-18T13:20:03+01:00  13:20:03 up 1 day, 5 min,  1 user,  load average: 16.62, 13.90, 10.06
2025-08-18T13:20:08+01:00  13:20:08 up 1 day, 5 min,  1 user,  load average: 15.37, 13.69, 10.01
2025-08-18T13:20:13+01:00  13:20:13 up 1 day, 5 min,  1 user,  load average: 14.30, 13.49, 9.97
2025-08-18T13:20:18+01:00  13:20:18 up 1 day, 5 min,  1 user,  load average: 15.32, 13.72, 10.06
2025-08-18T13:20:23+01:00  13:20:23 up 1 day, 5 min,  1 user,  load average: 16.73, 14.04, 10.18
2025-08-18T13:20:28+01:00  13:20:28 up 1 day, 6 min,  1 user,  load average: 17.39, 14.22, 10.26
2025-08-18T13:20:33+01:00  13:20:33 up 1 day, 6 min,  1 user,  load average: 17.68, 14.33, 10.32
2025-08-18T13:20:38+01:00  13:20:38 up 1 day, 6 min,  1 user,  load average: 17.63, 14.38, 10.36
2025-08-18T13:20:43+01:00  13:20:43 up 1 day, 6 min,  1 user,  load average: 17.50, 14.41, 10.39
2025-08-18T13:20:48+01:00  13:20:48 up 1 day, 6 min,  1 user,  load average: 17.86, 14.53, 10.45
2025-08-18T13:20:53+01:00  13:20:53 up 1 day, 6 min,  1 user,  load average: 17.39, 14.49, 10.46
2025-08-18T13:20:58+01:00  13:20:58 up 1 day, 6 min,  1 user,  load average: 18.48, 14.76, 10.57
2025-08-18T13:21:04+01:00  13:21:04 up 1 day, 6 min,  1 user,  load average: 18.60, 14.85, 10.62
2025-08-18T13:21:09+01:00  13:21:09 up 1 day, 6 min,  1 user,  load average: 18.31, 14.85, 10.64
2025-08-18T13:21:14+01:00  13:21:14 up 1 day, 6 min,  1 user,  load average: 18.77, 15.01, 10.72
2025-08-18T13:21:19+01:00  13:21:19 up 1 day, 6 min,  1 user,  load average: 19.75, 15.27, 10.83
2025-08-18T13:21:24+01:00  13:21:24 up 1 day, 6 min,  1 user,  load average: 20.09, 15.42, 10.90
2025-08-18T13:21:29+01:00  13:21:29 up 1 day, 7 min,  1 user,  load average: 19.36, 15.34, 10.90
2025-08-18T13:21:34+01:00  13:21:34 up 1 day, 7 min,  1 user,  load average: 20.21, 15.59, 11.00
2025-08-18T13:21:39+01:00  13:21:39 up 1 day, 7 min,  1 user,  load average: 19.47, 15.51, 11.00
2025-08-18T13:21:44+01:00  13:21:44 up 1 day, 7 min,  1 user,  load average: 19.28, 15.54, 11.03
2025-08-18T13:21:49+01:00  13:21:49 up 1 day, 7 min,  1 user,  load average: 18.37, 15.41, 11.02
2025-08-18T13:21:54+01:00  13:21:54 up 1 day, 7 min,  1 user,  load average: 18.10, 15.40, 11.04
2025-08-18T13:21:59+01:00  13:21:59 up 1 day, 7 min,  1 user,  load average: 17.61, 15.35, 11.04
2025-08-18T13:22:04+01:00  13:22:04 up 1 day, 7 min,  1 user,  load average: 16.84, 15.22, 11.03
2025-08-18T13:22:09+01:00  13:22:09 up 1 day, 7 min,  1 user,  load average: 16.46, 15.17, 11.03
2025-08-18T13:22:14+01:00  13:22:14 up 1 day, 7 min,  1 user,  load average: 16.26, 15.15, 11.05
