run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,269.8833333333333,6051.0,,6051,6051,700073.0,,700073,700073,112744.17878095474,,112744.17878095474,112744.17878095474,94115.0,,94115.0,94115.0,258382.4,,258382.4,258382.4,373057.96,,373057.96,373057.96,75532.74119142003,,75532.74119142003,75532.74119142003,269.8833333333333,,269.8833333333333,269.8833333333333,16193.0,,16193,16193
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,270.46666666666664,6559.0,,6559,6559,1006983.0,,1006983,1006983,126759.2267069263,,126759.2267069263,126759.2267069263,103521.0,,103521.0,103521.0,297866.4,,297866.4,297866.4,427621.84,,427621.84,427621.84,88919.8560262203,,88919.8560262203,88919.8560262203,270.46666666666664,,270.46666666666664,270.46666666666664,16228.0,,16228,16228
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,270.55,6072.0,,6072,6072,1209125.0,,1209125,1209125,119277.74397831578,,119277.74397831578,119277.74397831578,90732.0,,90732.0,90732.0,315836.19999999995,,315836.19999999995,315836.19999999995,480262.84,,480262.84,480262.84,99661.53959439365,,99661.53959439365,99661.53959439365,270.55,,270.55,270.55,16233.0,,16233,16233
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,270.65,6717.0,,6717,6717,745389.0,,745389,745389,120675.05536055176,,120675.05536055176,120675.05536055176,104456.0,,104456.0,104456.0,265817.3999999999,,265817.3999999999,265817.3999999999,384267.6799999992,,384267.6799999992,384267.6799999992,76588.09870176617,,76588.09870176617,76588.09870176617,270.65,,270.65,270.65,16239.0,,16239,16239
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,270.75,6750.0,,6750,6750,737547.0,,737547,737547,132805.75592489998,,132805.75592489998,132805.75592489998,113333.0,,113333.0,113333.0,299047.5999999999,,299047.5999999999,299047.5999999999,418116.2799999997,,418116.2799999997,418116.2799999997,87280.92257561389,,87280.92257561389,87280.92257561389,270.75,,270.75,270.75,16245.0,,16245,16245
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,270.76666666666665,6087.0,,6087,6087,1172206.0,,1172206,1172206,126333.78745537363,,126333.78745537363,126333.78745537363,96048.5,,96048.5,96048.5,321561.0,,321561.0,321561.0,638050.0499999995,,638050.0499999995,638050.0499999995,113902.9786026674,,113902.9786026674,113902.9786026674,270.76666666666665,,270.76666666666665,270.76666666666665,16246.0,,16246,16246
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,271.55,5051.0,,5051,5051,825454.0,,825454,825454,128556.65924016447,,128556.65924016447,128556.65924016447,104887.0,,104887.0,104887.0,303760.1999999999,,303760.1999999999,303760.1999999999,437479.4,,437479.4,437479.4,90053.52490640974,,90053.52490640974,90053.52490640974,271.55,,271.55,271.55,16293.0,,16293,16293
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,271.75,3937.0,,3937,3937,883922.0,,883922,883922,120061.18129408156,,120061.18129408156,120061.18129408156,98987.0,,98987.0,98987.0,292054.8,,292054.8,292054.8,474276.039999999,,474276.039999999,474276.039999999,92684.0271603681,,92684.0271603681,92684.0271603681,271.75,,271.75,271.75,16305.0,,16305,16305
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,271.8666666666667,7721.0,,7721,7721,602731.0,,602731,602731,126864.90749141735,,126864.90749141735,126864.90749141735,110962.5,,110962.5,110962.5,269952.3499999999,,269952.3499999999,269952.3499999999,364565.12,,364565.12,364565.12,72657.4451007171,,72657.4451007171,72657.4451007171,271.8666666666667,,271.8666666666667,271.8666666666667,16312.0,,16312,16312
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,271.9166666666667,4593.0,,4593,4593,985394.0,,985394,985394,109618.9941771376,,109618.9941771376,109618.9941771376,90004.0,,90004.0,90004.0,250050.9,,250050.9,250050.9,415208.0800000006,,415208.0800000006,415208.0800000006,81029.11585551653,,81029.11585551653,81029.11585551653,271.9166666666667,,271.9166666666667,271.9166666666667,16315.0,,16315,16315
