run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,338.85,4290.0,,4290,4290,644465.0,,644465,644465,63131.09074811864,,63131.09074811864,63131.09074811864,42497.0,,42497.0,42497.0,191055.5,,191055.5,191055.5,335207.4000000011,,335207.4000000011,335207.4000000011,66319.92385942896,,66319.92385942896,66319.92385942896,338.85,,338.85,338.85,20331.0,,20331,20331
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,341.0833333333333,3930.0,,3930,3930,975671.0,,975671,975671,69545.22741265576,,69545.22741265576,69545.22741265576,40498.0,,40498.0,40498.0,242236.39999999997,,242236.39999999997,242236.39999999997,530129.0800000001,,530129.0800000001,530129.0800000001,94359.33497896638,,94359.33497896638,94359.33497896638,341.0833333333333,,341.0833333333333,341.0833333333333,20465.0,,20465,20465
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,341.71666666666664,3809.0,,3809,3809,574921.0,,574921,574921,57617.92469394723,,57617.92469394723,57617.92469394723,39544.0,,39544.0,39544.0,174300.89999999997,,174300.89999999997,174300.89999999997,318908.89999999985,,318908.89999999985,318908.89999999985,59862.92383072491,,59862.92383072491,59862.92383072491,341.71666666666664,,341.71666666666664,341.71666666666664,20503.0,,20503,20503
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,20.0,5301.333333333333,171.33690009257577,5119,5459,63235.333333333336,19943.084173049396,46031,85094,8815.038611111111,279.0419608807539,8621.094166666666,9134.841666666667,7427.0,248.00554429286456,7230.0,7705.5,17632.88333333333,397.60619441016524,17218.3,18011.0,28685.123333333333,1185.227629627886,27710.53,30004.52,4607.72005879164,335.19167073283745,4252.563284961201,4918.532096225175,20.0,0.0,20.0,20.0,1200.0,0.0,1200,1200
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,40.0,4175.666666666667,291.96632225880677,3850,4414,161311.66666666666,140874.23264860516,68686,323430,8622.469444444445,296.2061574043646,8293.753333333334,8868.665,6909.5,296.18448642695654,6737.0,7251.5,17753.633333333306,254.08765383886427,17525.549999999985,18027.499999999996,30502.63666666659,1630.6179264417183,28904.42999999999,32163.83999999984,7494.492095866535,4288.687640184694,4995.8788798857895,12446.573430027503,40.0,0.0,40.0,40.0,2400.0,0.0,2400,2400
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,62.266666666666666,3871.0,,3871,3871,55028.0,,55028,55028,8352.575481798714,,8352.575481798714,8352.575481798714,6806.5,,6806.5,6806.5,18021.25,,18021.25,18021.25,29411.1,,29411.1,29411.1,4815.041939784408,,4815.041939784408,4815.041939784408,62.266666666666666,,62.266666666666666,62.266666666666666,3736.0,,3736,3736
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,62.45,3810.0,,3810,3810,85647.0,,85647,85647,8173.689351481184,,8173.689351481184,8173.689351481184,6633.0,,6633.0,6633.0,16843.199999999997,,16843.199999999997,16843.199999999997,29469.279999999984,,29469.279999999984,29469.279999999984,5351.115837293939,,5351.115837293939,5351.115837293939,62.45,,62.45,62.45,3747.0,,3747,3747
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,62.5,3912.0,,3912,3912,81508.0,,81508,81508,8345.289866666666,,8345.289866666666,8345.289866666666,6705.5,,6705.5,6705.5,18219.39999999998,,18219.39999999998,18219.39999999998,31110.06999999989,,31110.06999999989,31110.06999999989,5413.110881453534,,5413.110881453534,5413.110881453534,62.5,,62.5,62.5,3750.0,,3750,3750
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,82.95,3576.0,,3576,3576,174337.0,,174337,174337,8305.235282298574,,8305.235282298574,8305.235282298574,6431.0,,6431.0,6431.0,17719.799999999996,,17719.799999999996,17719.799999999996,36572.759999999966,,36572.759999999966,36572.759999999966,7204.666452423317,,7204.666452423317,7204.666452423317,82.95,,82.95,82.95,4977.0,,4977,4977
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,83.05,3558.0,,3558,3558,126025.0,,126025,126025,8311.084687938992,,8311.084687938992,8311.084687938992,6389.0,,6389.0,6389.0,18839.599999999995,,18839.599999999995,18839.599999999995,36788.740000000085,,36788.740000000085,36788.740000000085,6858.757450885005,,6858.757450885005,6858.757450885005,83.05,,83.05,83.05,4983.0,,4983,4983
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,83.21666666666667,3464.0,,3464,3464,148857.0,,148857,148857,8020.640696975766,,8020.640696975766,8020.640696975766,6337.0,,6337.0,6337.0,17758.599999999988,,17758.599999999988,17758.599999999988,31078.999999999975,,31078.999999999975,31078.999999999975,6128.76602539808,,6128.76602539808,6128.76602539808,83.21666666666667,,83.21666666666667,83.21666666666667,4993.0,,4993,4993
